코드	질문	label
207C	코로나 접촉자들이 받는 질문은 어떤게 있나요?	220
269A	코로나 이름은 어떻게 지어졌나요?	344
152A	코로나가 퍼진 시국에 크루즈 여행이나 가는건 오바겠죠?	112
270B	코로나와 사스의 비슷한 점을 알려주세요	350
233B	어느 나이대 사람들이 코로나에 더 약한가요?	268
29A	학교가 있는 지역에 코로나 감염자가 있을 때 학교는 어떻게 코로나를 대비해야할까요?	372
229A	폐가 딱딱해지는데 이거 코로나 때문인가요?	259
190A	공동격리 구역에 들어가는 환자	183
21A	휴교 해야 하는 상황	245
17A	교사가 할 수 있는 일	164
173A	코로나 관련하여 해외입국자 입국제한 조치를 실시한 국가가 어디인가요?	154
266C	코로나를 혈액에서 옮을 수 도 있나요?	338
222A	최근에 코로나 확진자 근처에 있었는데 어디에 연락하는게 좋을까요?	249
90A	옷에 기침했을 때 소독 필요해?	510
131A	코로나로 아이가 아픈데 어떻게 대처해야할까요?	58
165A	코로나 백신 나왔나요?	141
211B	코로나 접촉자 추적을 하는경우 어떤 정보가 공개되게 되나요?	232
63A	COVID-19 발생 시 반려견과 함께 미국으로 여행을 할 수 있습니까?	457
228B	코로나 폐렴은 마른기침으로 식별 가능한가요?	258
118B	집에 유증상자 있을 때 마스크 써야됨?	30
62A	mask 역할	455
196B	해외입국자도 자가격리시 생활지원에 대해 알려주세요	199
239A	치료비 지원은 격리입원치료비 말고 다른것들도 있나요?	278
273A	외국 코로나 총 확진자 숫자	356
258B	지역사회 전파란 무엇인지 설명해주십시요	320
274B	어떤 경우에 코로나 확진자가 되는지 알려주세요	361
73E	지금 시국에 반려견 미국으로 수입할 수 있음?	480
51C	코로나 방지에 살균터널이 효과적이야?	428
146B	미국 입국 할때 코로나 검사를 하나요?	92
233B	나이가 많은 사람들이 코로나에 더 약한가요?	268
251C	자기가 잘못해서 코로나에 걸린경우도 치료비용이 지원되는지 궁금해요	307
280A	고맙다	369
8A	혼자 가래 뽑을 때 음압실 필요해?	508
265A	지역사회 감염이란 무엇을 말하나요?	335
185A	확진된 무증상자가 격리에서 풀려나려면 기준이 어떻게되나요?	175
208B	보건복지부 직원은 확진자 개인정보를 모르나요?	223
160A	COVID-19을 예방하기 위해선 어떻게 해야하나요?	132
252A	코로나 치료법	308
205A	코로나로 숨진 사람의 유품은 어떤식으로 처리하는게 좋을까요?	216
142B	헤파필터 설명 좀 부탁해	83
33B	학교 내에서 식사 시 일회용품을 못 쓰는 경우 다른 방법이 있나요?	381
104A	생활 속 거리두기가 뭔지 궁금해 	8
165A	코로나 치료 백신 연구가 완료 되었나요?	141
275A	입국 시 검사는 어떻게 해?	362
204A	코로나로 사망한 시신을 만지면 코로나에 걸릴 수 있나요?	214
233A	코로나에 취약한 사람들을 알려주세요	267
73A	코로나 기간 중 수입 동물이나 동물 제품은 어떻게 취급해야 합니까?	476
141C	항공기 죽음 대응 사항	81
195C	집에 있으라고 했는데 외출하면 징역을 얼마나 해야하나요?	197
